img_name,origin
ISIC2020_1083672_oth.jpg,train_balanced_224x224/val/oth/
ISIC2020_7671776_oth.jpg,train_balanced_224x224/train/oth/
ISIC2019_0064399_oth.jpg,train_balanced_224x224/train/oth/
ISIC2020_7761711_oth.jpg,train_balanced_224x224/train/oth/
ISIC2020_2925512_oth.jpg,train_balanced_224x224/train/oth/
ISIC2020_4068608_oth.jpg,train_balanced_224x224/val/oth/
ISIC2020_0695428_oth.jpg,train_balanced_224x224/val/oth/
ISIC2019_0034158_oth.jpg,train_balanced_224x224/train/oth/
ISIC2020_9558915_oth.jpg,train_balanced_224x224/train/oth/
ISIC2020_5172053_oth.jpg,train_balanced_224x224/train/oth/
ISIC2020_3482153_oth.jpg,train_balanced_224x224/train/oth/
ISIC2020_1869634_oth.jpg,train_balanced_224x224/val/oth/
ISIC2019_0028937_oth.jpg,train_balanced_224x224/train/oth/
ISIC2020_9957107_oth.jpg,train_balanced_224x224/train/oth/
ISIC2019_0029784_oth.jpg,train_balanced_224x224/train/oth/
ISIC2020_9924951_oth.jpg,train_balanced_224x224/val/oth/
ISIC2019_0059656_oth.jpg,train_balanced_224x224/train/oth/
ISIC2019_0024671_oth.jpg,train_balanced_224x224/train/oth/
ISIC2019_0067620_oth.jpg,train_balanced_224x224/val/oth/
ISIC2020_6737576_oth.jpg,train_balanced_224x224/train/oth/
ISIC2020_0261781_oth.jpg,train_balanced_224x224/train/oth/
ISIC2019_0030809_oth.jpg,train_balanced_224x224/val/oth/
ISIC2020_5576301_oth.jpg,train_balanced_224x224/train/oth/
ISIC2020_3420087_oth.jpg,train_balanced_224x224/train/oth/
ISIC2020_1401045_oth.jpg,train_balanced_224x224/train/oth/
ISIC2020_5629626_oth.jpg,train_balanced_224x224/train/oth/
ISIC2020_2879267_oth.jpg,train_balanced_224x224/train/oth/
ISIC2020_8617145_oth.jpg,train_balanced_224x224/train/oth/
ISIC2020_1477056_oth.jpg,train_balanced_224x224/val/oth/
ISIC2020_6798880_oth.jpg,train_balanced_224x224/train/oth/
ISIC2019_0061361_oth.jpg,train_balanced_224x224/train/oth/
ISIC2020_4238222_oth.jpg,train_balanced_224x224/train/oth/
ISIC2020_0893399_oth.jpg,train_balanced_224x224/train/oth/
ISIC2020_4360127_oth.jpg,train_balanced_224x224/train/oth/
ISIC2019_0027807_oth.jpg,train_balanced_224x224/train/oth/
ISIC2020_0580068_oth.jpg,train_balanced_224x224/train/oth/
ISIC2020_9386509_oth.jpg,train_balanced_224x224/train/oth/
ISIC2020_3370423_oth.jpg,train_balanced_224x224/train/oth/
ISIC2019_0010567_oth.jpg,train_balanced_224x224/train/oth/
ISIC2020_1878972_oth.jpg,train_balanced_224x224/val/oth/
ISIC2019_0033963_oth.jpg,train_balanced_224x224/train/oth/
ISIC2020_5952650_oth.jpg,train_balanced_224x224/train/oth/
ISIC2020_1952049_oth.jpg,train_balanced_224x224/train/oth/
ISIC2020_4084359_oth.jpg,train_balanced_224x224/val/oth/
ISIC2020_9994125_oth.jpg,train_balanced_224x224/train/oth/
ISIC2020_2266290_oth.jpg,train_balanced_224x224/train/oth/
ISIC2020_3849316_oth.jpg,train_balanced_224x224/train/oth/
ISIC2020_0500526_oth.jpg,train_balanced_224x224/train/oth/
ISIC2020_6112879_oth.jpg,train_balanced_224x224/val/oth/
ISIC2019_0056293_oth.jpg,train_balanced_224x224/train/oth/
ISIC2020_3450029_oth.jpg,train_balanced_224x224/train/oth/
ISIC2020_5562344_oth.jpg,train_balanced_224x224/train/oth/
ISIC2020_5821131_oth.jpg,train_balanced_224x224/train/oth/
ISIC2020_3916064_oth.jpg,train_balanced_224x224/train/oth/
ISIC2020_2991680_oth.jpg,train_balanced_224x224/train/oth/
ISIC2020_3421679_oth.jpg,train_balanced_224x224/val/oth/
ISIC2020_5747513_oth.jpg,train_balanced_224x224/train/oth/
ISIC2017_0014120_oth.jpg,train_balanced_224x224/train/oth/
ISIC2020_6078729_oth.jpg,train_balanced_224x224/train/oth/
ISIC2020_6605541_oth.jpg,train_balanced_224x224/val/oth/
ISIC2020_8970431_oth.jpg,train_balanced_224x224/train/oth/
ISIC2020_0229832_oth.jpg,train_balanced_224x224/train/oth/
ISIC2019_0010213_oth.jpg,train_balanced_224x224/train/oth/
ISIC2020_7491724_oth.jpg,train_balanced_224x224/train/oth/
ISIC2019_0030434_oth.jpg,train_balanced_224x224/train/oth/
