img_name,origin
httpwwwdermaamincomsiteimagesclinicalpicmmelanomamelanoma50jpg.jpg,fitzpatrick17k
ISIC2019_0034243_mel.jpg,train_balanced_224x224/val/mel/
ISIC2019_0057787_mel.jpg,train_balanced_224x224/train/mel/
ISIC2020_6124481_mel.jpg,train_balanced_224x224/train/mel/
ISIC2019_0053686_mel.jpg,train_balanced_224x224/train/mel/
ISIC2020_0981639_mel.jpg,train_balanced_224x224/val/mel/
ISIC2019_0033947_mel.jpg,train_balanced_224x224/train/mel/
ISIC2019_0033545_mel.jpg,train_balanced_224x224/train/mel/
ISIC2019_0065728_mel.jpg,train_balanced_224x224/train/mel/
ISIC2019_0071916_mel.jpg,train_balanced_224x224/train/mel/
ISIC2019_0028537_mel.jpg,train_balanced_224x224/val/mel/
ISIC2020_6017985_mel.jpg,train_balanced_224x224/train/mel/
ISIC2019_0055498_mel.jpg,train_balanced_224x224/train/mel/
ISIC2019_0060228_mel.jpg,train_balanced_224x224/train/mel/
ISIC2019_0032709_mel.jpg,train_balanced_224x224/train/mel/
ISIC2019_0061049_mel.jpg,train_balanced_224x224/train/mel/
ISIC2019_0057044_mel.jpg,train_balanced_224x224/train/mel/
ISIC2020_6251753_mel.jpg,train_balanced_224x224/val/mel/
ISIC2019_0028225_mel.jpg,train_balanced_224x224/train/mel/
ISIC2019_0027517_mel.jpg,train_balanced_224x224/train/mel/
ISIC2019_0071910_mel.jpg,train_balanced_224x224/train/mel/
ISIC2020_9626843_mel.jpg,train_balanced_224x224/train/mel/
ISIC2019_0033931_mel.jpg,train_balanced_224x224/train/mel/
ISIC2019_0061052_mel.jpg,train_balanced_224x224/train/mel/
ISIC2019_0066844_mel.jpg,train_balanced_224x224/train/mel/
ISIC2019_0033980_mel.jpg,train_balanced_224x224/train/mel/
ISIC2017_0014983_mel.jpg,train_balanced_224x224/train/mel/
ISIC2020_0207268_mel.jpg,train_balanced_224x224/train/mel/
httpwwwdermaamincomsiteimagesclinicalpicssuperfacialspreadingmelanomasuperfacialspreadingmelanoma62jpg.jpg,fitzpatrick17k
httpwwwdermaamincomsiteimagesclinicalpicssuperfacialspreadingmelanomasuperfacialspreadingmelanoma8jpg.jpg,fitzpatrick17k
ISIC2019_0010056_mel.jpg,train_balanced_224x224/val/mel/
ISIC2019_0030575_mel.jpg,train_balanced_224x224/train/mel/
ISIC2020_0952472_mel.jpg,train_balanced_224x224/train/mel/
httpwwwdermaamincomsiteimagesclinicalpicmmalignantmelanomamalignantmelanoma55jpg.jpg,fitzpatrick17k
ISIC2019_0060624_mel.jpg,train_balanced_224x224/train/mel/
ISIC2019_0031498_mel.jpg,train_balanced_224x224/train/mel/
httpwwwdermaamincomsiteimagesclinicalpicmmalignantmelanomamalignantmelanoma1jpg.jpg,fitzpatrick17k
ISIC2019_0071558_mel.jpg,train_balanced_224x224/train/mel/
ISIC2019_0009868_mel.jpg,train_balanced_224x224/train/mel/
ISIC2020_4960802_mel.jpg,train_balanced_224x224/val/mel/
ISIC2019_0065420_mel.jpg,train_balanced_224x224/train/mel/
ISIC2019_0034117_mel.jpg,train_balanced_224x224/train/mel/
ISIC2020_8009536_mel.jpg,train_balanced_224x224/train/mel/
ISIC2019_0065928_mel.jpg,train_balanced_224x224/train/mel/
httpwwwdermaamincomsiteimagesclinicalpicmmelanomamelanoma54jpg.jpg,fitzpatrick17k
ISIC2020_2697083_mel.jpg,train_balanced_224x224/train/mel/
ISIC2019_0014037_downsampled_mel.jpg,train_balanced_224x224/train/mel/
ISIC2019_0029271_mel.jpg,train_balanced_224x224/val/mel/
ISIC2019_0054087_mel.jpg,train_balanced_224x224/train/mel/
ISIC2017_0015079_mel.jpg,train_balanced_224x224/train/mel/
ISIC2019_0033500_mel.jpg,train_balanced_224x224/train/mel/
ISIC2019_0025409_mel.jpg,train_balanced_224x224/train/mel/
ISIC2019_0066947_mel.jpg,train_balanced_224x224/train/mel/
ISIC2019_0033805_mel.jpg,train_balanced_224x224/train/mel/
ISIC2019_0066156_mel.jpg,train_balanced_224x224/train/mel/
ISIC2019_0031779_mel.jpg,train_balanced_224x224/train/mel/
ISIC2019_0032396_mel.jpg,train_balanced_224x224/train/mel/
httpwwwdermaamincomsiteimagesclinicalpicaamelanoticnodularmelanomaamelanoticnodularmelanoma1jpg.jpg,fitzpatrick17k
ISIC2020_1177153_mel.jpg,train_balanced_224x224/val/mel/
ISIC2019_0000292_mel.jpg,train_balanced_224x224/train/mel/
ISIC2019_0063318_mel.jpg,train_balanced_224x224/val/mel/
ISIC2019_0056626_mel.jpg,train_balanced_224x224/train/mel/
ISIC2017_0014372_mel.jpg,train_balanced_224x224/train/mel/
httpwwwdermaamincomsiteimagesclinicalpicmmelanomamelanoma53jpg.jpg,fitzpatrick17k
httpwwwdermaamincomsiteimagesclinicalpicmmalignantmelanomamalignantmelanoma59jpg.jpg,fitzpatrick17k
httpwwwdermaamincomsiteimagesclinicalpicmmalignantmelanomamalignantmelanoma72jpg.jpg,fitzpatrick17k
ISIC2019_0072374_mel.jpg,train_balanced_224x224/train/mel/
ISIC2020_4493482_mel.jpg,train_balanced_224x224/val/mel/
ISIC2019_0030129_mel.jpg,train_balanced_224x224/val/mel/
ISIC2020_1356715_mel.jpg,train_balanced_224x224/train/mel/
ISIC2019_0011334_mel.jpg,train_balanced_224x224/train/mel/
httpwwwdermaamincomsiteimagesclinicalpicmmelanomamelanoma23jpg.jpg,fitzpatrick17k
ISIC2019_0026089_mel.jpg,train_balanced_224x224/val/mel/
ISIC2020_1157032_mel.jpg,train_balanced_224x224/train/mel/
httpwwwdermaamincomsiteimagesclinicalpicssuperfacialspreadingmelanomasuperfacialspreadingmelanoma91jpg.jpg,fitzpatrick17k
ISIC2019_0033302_mel.jpg,train_balanced_224x224/train/mel/
ISIC2019_0031034_mel.jpg,train_balanced_224x224/val/mel/
ISIC2019_0065918_mel.jpg,train_balanced_224x224/train/mel/
ISIC2019_0033522_mel.jpg,train_balanced_224x224/train/mel/
ISIC2020_3203344_mel.jpg,train_balanced_224x224/train/mel/
ISIC2019_0033871_mel.jpg,train_balanced_224x224/train/mel/
httpwwwdermaamincomsiteimagesclinicalpicmmalignantmelanomamalignantmelanoma84jpg.jpg,fitzpatrick17k
ISIC2019_0057591_mel.jpg,train_balanced_224x224/train/mel/
ISIC2020_3979826_mel.jpg,train_balanced_224x224/train/mel/
ISIC2019_0065382_mel.jpg,train_balanced_224x224/val/mel/
ISIC2019_0070051_mel.jpg,train_balanced_224x224/train/mel/
ISIC2019_0068011_mel.jpg,train_balanced_224x224/train/mel/
ISIC2020_6110888_mel.jpg,train_balanced_224x224/train/mel/
ISIC2017_0012290_mel.jpg,train_balanced_224x224/train/mel/
httpwwwdermaamincomsiteimagesclinicalpicmmelanomamelanoma18jpg.jpg,fitzpatrick17k
ISIC2019_0028512_mel.jpg,train_balanced_224x224/train/mel/
ISIC2019_0034106_mel.jpg,train_balanced_224x224/train/mel/
ISIC2019_0058408_mel.jpg,train_balanced_224x224/train/mel/
ISIC2019_0026745_mel.jpg,train_balanced_224x224/train/mel/
ISIC2019_0065774_mel.jpg,train_balanced_224x224/train/mel/
ISIC2019_0034316_mel.jpg,train_balanced_224x224/train/mel/
ISIC2019_0027306_mel.jpg,train_balanced_224x224/train/mel/
ISIC2019_0072843_mel.jpg,train_balanced_224x224/train/mel/
ISIC2019_0033616_mel.jpg,train_balanced_224x224/train/mel/
ISIC2019_0027076_mel.jpg,train_balanced_224x224/val/mel/
ISIC2019_0058176_mel.jpg,train_balanced_224x224/train/mel/
ISIC2019_0032695_mel.jpg,train_balanced_224x224/train/mel/
ISIC2019_0024459_mel.jpg,train_balanced_224x224/val/mel/
ISIC2020_8497457_mel.jpg,train_balanced_224x224/train/mel/
ISIC2019_0010029_mel.jpg,train_balanced_224x224/val/mel/
ISIC2019_0027105_mel.jpg,train_balanced_224x224/train/mel/
ISIC2020_5247508_mel.jpg,train_balanced_224x224/train/mel/
ISIC2020_3084312_mel.jpg,train_balanced_224x224/val/mel/
